date,region,temperature,precipitation,conditions
2025-03-18 10:24:05.380124,midwest,16.370264524978214,14.379295829410225,rainy
2025-03-19 10:24:05.380124,midwest,23.297497961910253,6.469303582293011,sunny
2025-03-20 10:24:05.380124,midwest,21.73451155552923,8.0607724211799,cloudy
2025-03-21 10:24:05.380124,midwest,26.411961320886533,5.049340921127488,sunny
2025-03-22 10:24:05.380124,midwest,29.868725702794592,16.67570375051745,cloudy
2025-03-23 10:24:05.380124,midwest,25.180779519764506,2.4608561573224863,sunny
2025-03-24 10:24:05.380124,midwest,20.94674077863061,3.586610703400761,rainy
2025-03-25 10:24:05.380124,midwest,21.834040413185722,0.025724470863062177,sunny
2025-03-26 10:24:05.380124,midwest,26.26746058011452,1.6217743451897948,sunny
2025-03-27 10:24:05.380124,midwest,15.401468857370507,2.049933744190502,partly cloudy
2025-03-28 10:24:05.380124,midwest,24.236662412029787,3.852148649490723,cloudy
2025-03-29 10:24:05.380124,midwest,17.80416098103722,8.858103161265289,rainy
2025-03-30 10:24:05.380124,midwest,17.274707361007575,2.067707836702841,cloudy
2025-03-31 10:24:05.380124,midwest,26.8580939934252,10.875270706378563,cloudy
2025-04-01 10:24:05.380124,midwest,26.01515964695806,12.856024425902568,rainy
